Word,Reading,Translation,Category
見る (見ます),みる,ver,verb
テレビ,てれび,televisión,noun
映画,えいが,película,noun
よく,よく,a menudo,adverb
アニメ,あにめ,anime,noun
サッカー,さっかー,fútbol,noun
バスケットボール,ばすけっとぼーる,baloncesto,noun
本,ほん,libro,noun
時々,ときどき,a veces,adverb
聞く (聞きます),きく (ききます),escuchar / oír,verb
ジャズ,じゃず,jazz,noun
音楽,おんがく,música,noun
ロック,ろっく,rock,noun
ニュース,にゅーす,noticias,noun
雑誌,ざっし,revista,noun
読む (読みます),よむ (よみます),leer,verb
野球,やきゅう,béisbol,noun
マンガ,まんが,manga,noun
