Word,Reading,Translation,Category
従兄弟,いとこ,primo,noun
ポテトチップス,ぽてとちっぷす,patatas fritas / lays,noun
フライドチキン,ふらいどちきん,fried chicken,noun
道,みち,camino / calle,noun
途中,とちゅう,de camino / a mitad de,noun
やる (やります),やる,hacer,verb
カップ,かっぷ,cup / taza,noun
フォーク,ふぉーく,tenedor,noun
渡る (渡ります),わたる,cruzar,verb
おもちゃ,おもちゃ,juguete,noun
電気,でんき,electricidad,noun
ナイフ,ないふ,cuchillo,noun
お皿,おさら,plato,noun
切る (切ります),きる,cortar,verb
歩く (歩きます),あるく,andar / caminar,verb
