Word,Reading,Translation,Category
湖,みずうみ,lago,noun
村,むら,pueblo,noun
旅館,りょかん,posada japonesa,noun
森,もり,bosque,noun
立派,りっぱ,splendid / impresionante,adjective
散歩 (します),さんぽ,dar un paseo,noun
周り,まわり,alrededores,noun
畳,たたみ,tatami,noun
脱ぐ (脱ぎます),ぬぐ,take off (clothes),verb
キノコ,きのこ,seta,noun
季節,きせつ,estación del año,noun
新鮮,しんせん,fresco,adjective
レビュー (します),れびゅー,review,noun
スタッフ,すたっふ,staff,noun
必ず,かならず,definitivamente / sin falta,adverb
お客さん,おきゃくさん,cliente / invitado,noun
