Word,Reading,Translation,Category
やめる,やめる (やめます),quit / stop,verb
良い,いい / よい,good,adjective
オフィス,おふぃす,office,noun
壊れる,こわれる (こわれます),romperse,verb
真面目,まじめ,serio,adjective
怒る,おこる (おこります),enfadarse,verb
まずい,まずい,no rico,adjective
同じ,おなじ,igual,adjective
別,べつ,diferente / aparte,noun
スキル,すきる,skill,noun
頑張る,がんばる (がんばります),refuse to give up / resistir,verb
紹介,しょうかい (しょうかいします),introducción,noun
綿飴,わたあめ,cotton candy,noun
遅く,おそく,late / slowly,adverb
