Word,Reading,Translation,Category
モニター,もにたー,monitor,noun
もう,もう,already / ya,adverb
棚,たな,shelf / estantería,noun
お酒,おさけ,alcohol,noun
着く,つく (つきます),llegar,verb
アクセサリー,あくせさりー,accesorio,noun
紫,むらさき,morado,noun
~中,~ちゅう,en medio de (acción),noun
キーボード,きーぼーど,keyboard,noun
ふわふわ,ふわふわ,fluffy / esponjoso,adverb
ボロボロ,ぼろぼろ,hecho polvo / tattered,adverb
遅れる,おくれる (おくれます),retrasarse / llegar tarde,verb
まず,まず,first / en primer lugar,adverb
セーター,せーたー,sweater / jersey,noun
ジーンズ,じーんず,jeans / vaqueros,noun
バター,ばたー,butter / mantequilla,noun
引き出し,ひきだし,cajón,noun
