Word,Reading,Translation,Category
熱,ねつ,fiebre,noun
何も,なにも,nothing,pronoun
風邪,かぜ,resfriado,noun
ノート,のーと,notebook,noun
借りる (借ます),かりる,borrow,verb
マスク,ますく,mask,noun
開ける (開けます),あける,abrir (acción activa),verb
全然,ぜんぜん,not at all / ningún,adverb
ビタミン,びたみん,vitamin,noun
ティッシュ,てぃっしゅ,tissue,noun
注文 (します),ちゅうもん,order,noun
