Article,Word,Plural,Translation,Category
,wer,,quién,pronoun
,was,,qué,pronoun
,warum,,por qué,adverb
,wo,,dónde,adverb
,wann,,cuándo,adverb
,wie,,cómo,adverb
,woher,,de dónde,adverb
,wohin,,adónde,adverb
,welch -e/-er/-es,,cuál,determiner
,wie viel,,cuánto (incontable),adverb
,wie viele,,cuántos (contable),adverb
,wessen,,de quién,pronoun
